lambda,Pabs
350, 0.903954
351, 0.898498
352, 0.890882
353, 0.881298
354, 0.869982
355, 0.857203
356, 0.843221
357, 0.828319
358, 0.812777
359, 0.796838
360, 0.780756
361, 0.764767
362, 0.749051
363, 0.733758
364, 0.719014
365, 0.704924
366, 0.691568
367, 0.679005
368, 0.667282
369, 0.656429
370, 0.646445
371, 0.637315
372, 0.629053
373, 0.621695
374, 0.615261
375, 0.609751
376, 0.605153
377, 0.601451
378, 0.598625
379, 0.596653
380, 0.595513
381, 0.595183
382, 0.595643
383, 0.596878
384, 0.598874
385, 0.601646
386, 0.605205
387, 0.60933
388, 0.614173
389, 0.619721
390, 0.62594
391, 0.632802
392, 0.640276
393, 0.648327
394, 0.656916
395, 0.666001
396, 0.675535
397, 0.685468
398, 0.695747
399, 0.706316
400, 0.717113
401, 0.728074
402, 0.739128
403, 0.750201
404, 0.761217
405, 0.772096
406, 0.78273
407, 0.793043
408, 0.802941
409, 0.812327
410, 0.821106
411, 0.829187
412, 0.836485
413, 0.84293
414, 0.84845
415, 0.852989
416, 0.856512
417, 0.859
418, 0.860432
419, 0.860807
420, 0.860136
421, 0.858436
422, 0.855734
423, 0.852078
424, 0.847508
425, 0.84208
426, 0.835864
427, 0.828918
428, 0.821321
429, 0.813149
430, 0.804475
431, 0.795384
432, 0.785949
433, 0.776249
434, 0.766356
435, 0.756336
436, 0.746261
437, 0.73618
438, 0.726157
439, 0.716231
440, 0.706453
441, 0.696854
442, 0.687476
443, 0.678339
444, 0.669478
445, 0.660908
446, 0.652656
447, 0.64473
448, 0.637153
449, 0.629928
450, 0.623071
451, 0.616581
452, 0.610468
453, 0.604727
454, 0.59936
455, 0.594358
456, 0.589713
457, 0.585418
458, 0.581449
459, 0.577788
460, 0.574397
461, 0.571264
462, 0.568374
463, 0.565688
464, 0.563176
465, 0.560805
466, 0.558534
467, 0.556337
468, 0.554173
469, 0.55201
470, 0.54982
471, 0.547569
472, 0.545232
473, 0.542788
474, 0.540214
475, 0.537493
476, 0.534619
477, 0.531581
478, 0.528375
479, 0.525005
480, 0.521478
481, 0.517799
482, 0.513982
483, 0.510046
484, 0.506008
485, 0.501887
486, 0.497706
487, 0.493491
488, 0.489265
489, 0.485052
490, 0.480879
491, 0.476774
492, 0.472753
493, 0.468823
494, 0.465055
495, 0.461275
496, 0.457497
497, 0.4539
498, 0.450473
499, 0.447225
500, 0.444159
501, 0.441273
502, 0.438568
503, 0.436038
504, 0.433682
505, 0.431493
506, 0.429467
507, 0.427597
508, 0.425874
509, 0.424287
510, 0.422824
511, 0.421473
512, 0.420219
513, 0.419048
514, 0.417945
515, 0.416892
516, 0.415872
517, 0.414865
518, 0.413853
519, 0.412814
520, 0.41173
521, 0.41058
522, 0.409342
523, 0.407997
524, 0.406525
525, 0.404904
526, 0.403116
527, 0.401141
528, 0.398961
529, 0.39656
530, 0.393922
531, 0.391033
532, 0.387881
533, 0.384456
534, 0.380751
535, 0.376762
536, 0.372485
537, 0.367922
538, 0.363076
539, 0.357954
540, 0.352566
541, 0.346923
542, 0.341041
543, 0.334937
544, 0.328631
545, 0.322143
546, 0.315497
547, 0.308716
548, 0.301825
549, 0.294848
550, 0.28781
551, 0.280734
552, 0.273645
553, 0.266565
554, 0.259514
555, 0.252514
556, 0.245581
557, 0.238734
558, 0.231986
559, 0.225351
560, 0.218842
561, 0.212469
562, 0.20624
563, 0.200164
564, 0.194249
565, 0.188504
566, 0.182948
567, 0.177642
568, 0.172999
569, 0.171829
570, 0.163053
571, 0.157596
572, 0.152811
573, 0.148281
574, 0.143937
575, 0.13976
576, 0.135742
577, 0.131877
578, 0.12816
579, 0.124585
580, 0.121147
581, 0.117841
582, 0.114662
583, 0.111606
584, 0.108668
585, 0.105847
586, 0.103137
587, 0.100535
588, 0.0980363
589, 0.0956361
590, 0.0933307
591, 0.0911168
592, 0.0889914
593, 0.0869512
594, 0.0849924
595, 0.0831112
596, 0.0813043
597, 0.0795689
598, 0.0779026
599, 0.0763028
600, 0.0747663
601, 0.0732903
602, 0.0718721
603, 0.07051
604, 0.0692018
605, 0.0679454
606, 0.0667383
607, 0.0655784
608, 0.0644642
609, 0.0633942
610, 0.0623666
611, 0.0613795
612, 0.0604312
613, 0.0595206
614, 0.0586465
615, 0.0578074
616, 0.0570018
617, 0.0562285
618, 0.0554868
619, 0.0547755
620, 0.0540932
621, 0.0534391
622, 0.0528123
623, 0.052212
624, 0.0516371
625, 0.0510867
626, 0.0505603
627, 0.0500571
628, 0.0495762
629, 0.0491169
630, 0.0486785
631, 0.0482607
632, 0.0478625
633, 0.0474833
634, 0.0471226
635, 0.0467803
636, 0.0464557
637, 0.046147
638, 0.0458743
639, 0.0455864
640, 0.0453189
641, 0.0450732
642, 0.044843
643, 0.0446264
644, 0.0444238
645, 0.0442351
646, 0.0440593
647, 0.0438962
648, 0.0437459
649, 0.0436078
650, 0.0434813
651, 0.0433666
652, 0.0432634
653, 0.043171
654, 0.0430895
655, 0.0430188
656, 0.0429581
657, 0.0429076
658, 0.0428673
659, 0.0428363
660, 0.0428149
661, 0.0428029
662, 0.0427998
663, 0.0428055
664, 0.0428201
665, 0.0428429
666, 0.042874
667, 0.0429134
668, 0.0429603
669, 0.0430148
670, 0.043077
671, 0.0431461
672, 0.0432223
673, 0.0433054
674, 0.0433946
675, 0.0434903
676, 0.0435922
677, 0.0436994
678, 0.0438124
679, 0.0439306
680, 0.0440534
681, 0.0441813
682, 0.0443132
683, 0.044449
684, 0.0445889
685, 0.0447317
686, 0.0448778
687, 0.0450266
688, 0.0451772
689, 0.0453303
690, 0.0454845
691, 0.0456399
692, 0.0457963
693, 0.0459526
694, 0.0461092
695, 0.0462652
696, 0.0464199
697, 0.0465738
698, 0.0467253
699, 0.046875
700, 0.0470219


