lambda,Pabs
350, 0.679599
351, 0.679358
352, 0.677415
353, 0.673885
354, 0.668867
355, 0.662462
356, 0.654856
357, 0.646221
358, 0.636743
359, 0.626614
360, 0.615877
361, 0.60477
362, 0.593581
363, 0.582476
364, 0.571572
365, 0.560959
366, 0.550722
367, 0.540937
368, 0.531664
369, 0.522935
370, 0.514758
371, 0.507146
372, 0.500139
373, 0.493786
374, 0.488113
375, 0.483131
376, 0.478837
377, 0.475223
378, 0.472277
379, 0.469985
380, 0.468331
381, 0.467298
382, 0.466872
383, 0.467039
384, 0.467788
385, 0.469109
386, 0.471008
387, 0.473494
388, 0.476445
389, 0.479921
390, 0.483918
391, 0.488414
392, 0.493386
393, 0.49881
394, 0.504661
395, 0.510911
396, 0.517526
397, 0.524472
398, 0.531713
399, 0.539211
400, 0.546926
401, 0.55482
402, 0.562844
403, 0.570945
404, 0.579065
405, 0.587148
406, 0.595138
407, 0.602965
408, 0.610608
409, 0.617929
410, 0.6249
411, 0.631461
412, 0.637544
413, 0.643086
414, 0.648048
415, 0.652388
416, 0.656055
417, 0.659015
418, 0.661259
419, 0.662761
420, 0.663509
421, 0.663522
422, 0.662799
423, 0.66135
424, 0.65922
425, 0.656421
426, 0.652995
427, 0.648993
428, 0.644443
429, 0.639412
430, 0.633941
431, 0.628081
432, 0.621898
433, 0.615428
434, 0.608742
435, 0.601877
436, 0.594891
437, 0.587828
438, 0.580732
439, 0.573648
440, 0.566608
441, 0.559656
442, 0.552815
443, 0.546122
444, 0.539595
445, 0.533265
446, 0.527142
447, 0.521254
448, 0.515606
449, 0.51022
450, 0.505097
451, 0.500249
452, 0.495683
453, 0.491399
454, 0.487406
455, 0.483697
456, 0.480286
457, 0.477168
458, 0.474363
459, 0.471831
460, 0.469385
461, 0.467039
462, 0.464909
463, 0.462992
464, 0.461246
465, 0.459628
466, 0.45811
467, 0.456654
468, 0.455227
469, 0.453806
470, 0.452353
471, 0.450841
472, 0.44925
473, 0.447551
474, 0.445722
475, 0.443756
476, 0.441634
477, 0.439342
478, 0.436886
479, 0.434265
480, 0.431474
481, 0.428525
482, 0.425435
483, 0.422215
484, 0.418873
485, 0.415435
486, 0.411929
487, 0.408371
488, 0.40478
489, 0.401184
490, 0.397616
491, 0.394097
492, 0.390623
493, 0.387166
494, 0.383694
495, 0.380382
496, 0.376933
497, 0.373616
498, 0.370453
499, 0.367433
500, 0.364557
501, 0.361825
502, 0.359238
503, 0.356792
504, 0.354483
505, 0.352308
506, 0.350262
507, 0.34834
508, 0.346539
509, 0.34485
510, 0.343264
511, 0.341774
512, 0.340367
513, 0.339033
514, 0.337761
515, 0.336537
516, 0.335348
517, 0.334181
518, 0.333019
519, 0.331849
520, 0.330653
521, 0.329418
522, 0.328125
523, 0.32676
524, 0.325308
525, 0.323751
526, 0.322077
527, 0.32027
528, 0.318317
529, 0.316205
530, 0.313923
531, 0.31146
532, 0.308808
533, 0.305959
534, 0.302908
535, 0.29965
536, 0.296184
537, 0.29251
538, 0.288629
539, 0.284545
540, 0.280266
541, 0.275798
542, 0.271152
543, 0.26634
544, 0.261375
545, 0.256272
546, 0.251047
547, 0.245716
548, 0.240299
549, 0.234812
550, 0.229274
551, 0.223703
552, 0.218117
553, 0.212533
554, 0.206969
555, 0.201438
556, 0.195956
557, 0.190537
558, 0.185192
559, 0.179932
560, 0.174768
561, 0.169707
562, 0.164757
563, 0.159927
564, 0.155228
565, 0.15068
566, 0.146345
567, 0.142554
568, 0.14253
569, 0.1359
570, 0.130105
571, 0.125916
572, 0.12209
573, 0.118458
574, 0.114979
575, 0.111635
576, 0.108417
577, 0.105318
578, 0.102334
579, 0.0994613
580, 0.096696
581, 0.0940356
582, 0.0914774
583, 0.0890183
584, 0.0866547
585, 0.084383
586, 0.0821998
587, 0.080102
588, 0.0780867
589, 0.076151
590, 0.0742918
591, 0.0725062
592, 0.0707913
593, 0.0691443
594, 0.0675627
595, 0.0660435
596, 0.0645843
597, 0.0631828
598, 0.0618368
599, 0.060544
600, 0.0593021
601, 0.0581086
602, 0.056962
603, 0.0558607
604, 0.0548029
605, 0.0537864
606, 0.0528092
607, 0.0518703
608, 0.0509687
609, 0.0501028
610, 0.0492703
611, 0.0484701
612, 0.0477017
613, 0.0469642
614, 0.0462557
615, 0.0455744
616, 0.0449203
617, 0.0442931
618, 0.0436911
619, 0.0431125
620, 0.0425571
621, 0.0420254
622, 0.0415158
623, 0.041026
624, 0.0405565
625, 0.0401082
626, 0.0396791
627, 0.0392668
628, 0.0388726
629, 0.0384979
630, 0.0381392
631, 0.0377942
632, 0.0374677
633, 0.0371595
634, 0.0368606
635, 0.0365756
636, 0.0363336
637, 0.0361483
638, 0.0364917
639, 0.0356724
640, 0.0354016
641, 0.035161
642, 0.0349679
643, 0.0347903
644, 0.0346137
645, 0.034451
646, 0.0343039
647, 0.034163
648, 0.0340309
649, 0.0339118
650, 0.0338009
651, 0.0336974
652, 0.0336047
653, 0.0335207
654, 0.0334436
655, 0.0333758
656, 0.0333164
657, 0.0332637
658, 0.0332193
659, 0.0331826
660, 0.0331525
661, 0.0331299
662, 0.0331143
663, 0.0331051
664, 0.0331029
665, 0.0331071
666, 0.0331173
667, 0.0331344
668, 0.0331564
669, 0.0331846
670, 0.0332187
671, 0.0332574
672, 0.0333021
673, 0.0333519
674, 0.0334057
675, 0.0334654
676, 0.0335291
677, 0.0335965
678, 0.0336694
679, 0.033745
680, 0.0338243
681, 0.0339085
682, 0.0339939
683, 0.0340835
684, 0.0341762
685, 0.0342694
686, 0.0343673
687, 0.0344656
688, 0.0345651
689, 0.0346682
690, 0.0347694
691, 0.0348735
692, 0.034978
693, 0.0350803
694, 0.0351862
695, 0.0352882
696, 0.0353907
697, 0.0354936
698, 0.0355911
699, 0.0356915
700, 0.0357861


