lambda,Pabs
350, 0.723112
351, 0.728734
352, 0.734786
353, 0.740671
354, 0.745224
355, 0.747279
356, 0.746217
357, 0.742203
358, 0.736028
359, 0.728725
360, 0.721159
361, 0.713755
362, 0.706425
363, 0.698675
364, 0.689867
365, 0.679541
366, 0.667662
367, 0.654679
368, 0.641372
369, 0.628585
370, 0.616977
371, 0.60688
372, 0.598286
373, 0.590906
374, 0.584283
375, 0.577925
376, 0.57145
377, 0.564706
378, 0.557815
379, 0.55112
380, 0.545072
381, 0.540089
382, 0.536459
383, 0.534303
384, 0.533567
385, 0.53405
386, 0.535444
387, 0.537391
388, 0.539561
389, 0.541731
390, 0.543838
391, 0.545974
392, 0.54835
393, 0.551222
394, 0.554833
395, 0.559362
396, 0.564896
397, 0.571421
398, 0.578811
399, 0.58685
400, 0.595262
401, 0.603767
402, 0.612137
403, 0.620235
404, 0.628026
405, 0.635565
406, 0.642962
407, 0.650345
408, 0.657823
409, 0.665464
410, 0.673265
411, 0.681149
412, 0.68896
413, 0.696484
414, 0.703487
415, 0.709752
416, 0.715119
417, 0.719504
418, 0.722901
419, 0.725367
420, 0.727
421, 0.727909
422, 0.728198
423, 0.72794
424, 0.727172
425, 0.725889
426, 0.724046
427, 0.721573
428, 0.718395
429, 0.714457
430, 0.709739
431, 0.704274
432, 0.698141
433, 0.691457
434, 0.684361
435, 0.676996
436, 0.669496
437, 0.661976
438, 0.654524
439, 0.647197
440, 0.640021
441, 0.632997
442, 0.6261
443, 0.619296
444, 0.612551
445, 0.60584
446, 0.599159
447, 0.592523
448, 0.58597
449, 0.579548
450, 0.573318
451, 0.56734
452, 0.561671
453, 0.556361
454, 0.551448
455, 0.546957
456, 0.542893
457, 0.539245
458, 0.535983
459, 0.533063
460, 0.53043
461, 0.528022
462, 0.525782
463, 0.523653
464, 0.521588
465, 0.519546
466, 0.517495
467, 0.515409
468, 0.51327
469, 0.511067
470, 0.508796
471, 0.506454
472, 0.504043
473, 0.501565
474, 0.49902
475, 0.496401
476, 0.493702
477, 0.490909
478, 0.488009
479, 0.484988
480, 0.481832
481, 0.47853
482, 0.475075
483, 0.471464
484, 0.467695
485, 0.463776
486, 0.459715
487, 0.455531
488, 0.451246
489, 0.446889
490, 0.442493
491, 0.438093
492, 0.433727
493, 0.429429
494, 0.425233
495, 0.421166
496, 0.417253
497, 0.41351
498, 0.409952
499, 0.406584
500, 0.403408
501, 0.400422
502, 0.397615
503, 0.394975
504, 0.392487
505, 0.390131
506, 0.38789
507, 0.385744
508, 0.383678
509, 0.381677
510, 0.37973
511, 0.377828
512, 0.375966
513, 0.374139
514, 0.372345
515, 0.370579
516, 0.368841
517, 0.367125
518, 0.365427
519, 0.36374
520, 0.362052
521, 0.360353
522, 0.358625
523, 0.35685
524, 0.355004
525, 0.353065
526, 0.351005
527, 0.3488
528, 0.346424
529, 0.343853
530, 0.34107
531, 0.338057
532, 0.334804
533, 0.331306
534, 0.32756
535, 0.323571
536, 0.319345
537, 0.314896
538, 0.310236
539, 0.305382
540, 0.300351
541, 0.295163
542, 0.289836
543, 0.284387
544, 0.278835
545, 0.273195
546, 0.267482
547, 0.261709
548, 0.255889
549, 0.250033
550, 0.244152
551, 0.238257
552, 0.232359
553, 0.22647
554, 0.220601
555, 0.214765
556, 0.208974
557, 0.203242
558, 0.197581
559, 0.192003
560, 0.18652
561, 0.181144
562, 0.175883
563, 0.170746
564, 0.16574
565, 0.160872
566, 0.156147
567, 0.151566
568, 0.147133
569, 0.142848
570, 0.13871
571, 0.134719
572, 0.13087
573, 0.127161
574, 0.123588
575, 0.120146
576, 0.116831
577, 0.113638
578, 0.110561
579, 0.107596
580, 0.104739
581, 0.101985
582, 0.0993306
583, 0.0967717
584, 0.094305
585, 0.0919271
586, 0.0896352
587, 0.0874262
588, 0.0852977
589, 0.0832471
590, 0.0812722
591, 0.0793708
592, 0.0775409
593, 0.0757807
594, 0.0740884
595, 0.0724622
596, 0.0709004
597, 0.0694011
598, 0.0679625
599, 0.0665826
600, 0.0652594
601, 0.0639909
602, 0.0627749
603, 0.0616092
604, 0.0604918
605, 0.0594205
606, 0.0583932
607, 0.057408
608, 0.0564628
609, 0.0555559
610, 0.0546855
611, 0.0538498
612, 0.0530471
613, 0.0522759
614, 0.0515345
615, 0.0508216
616, 0.0501358
617, 0.0494757
618, 0.0488403
619, 0.0482284
620, 0.0476391
621, 0.0470717
622, 0.0465254
623, 0.0459996
624, 0.0454939
625, 0.0450078
626, 0.0445409
627, 0.0440929
628, 0.0436634
629, 0.0432521
630, 0.0428586
631, 0.0424827
632, 0.0421239
633, 0.0417819
634, 0.0414565
635, 0.0411472
636, 0.0408539
637, 0.0405761
638, 0.0403135
639, 0.0400659
640, 0.0398329
641, 0.0396142
