X,T
6.61744e-18, 310.199
0.0184548, 310.199
0.0427062, 310.199
0.713599, 310.199
0.863536, 310.199
1.18445, 310.2
1.20807, 310.2
1.56832, 310.2
1.71085, 310.2
1.888, 310.201
1.91154, 310.201
2.17007, 310.201
2.38956, 310.202
2.49522, 310.202
2.51177, 310.202
2.80467, 310.203
2.8235, 310.203
2.84773, 310.203
2.86623, 310.203
2.88435, 310.203
3.22476, 310.204
3.6959, 310.206
3.72094, 310.206
3.73052, 310.206
3.73152, 310.206
3.75188, 310.206
3.80351, 310.207
4.27225, 310.209
4.29388, 310.209
4.4577, 310.209
4.79792, 310.211
5.09541, 310.213
5.12079, 310.213
5.2133, 310.213
5.24142, 310.214
5.61883, 310.216
5.79266, 310.217
6.04619, 310.219
6.31789, 310.221
6.33214, 310.221
6.36147, 310.221
6.57423, 310.223
7.11628, 310.227
7.25993, 310.228
7.28773, 310.229
7.45203, 310.23
7.48121, 310.23
7.9786, 310.235
7.99248, 310.235
8.42894, 310.24
8.63268, 310.242
8.64118, 310.242
8.87926, 310.245
8.91891, 310.245
9.33926, 310.25
9.3556, 310.251
9.7224, 310.256
9.93788, 310.258
10.0886, 310.261
10.1042, 310.261
10.121, 310.261
10.5473, 310.267
10.7242, 310.27
11.2329, 310.278
11.2544, 310.279
11.2771, 310.279
11.3225, 310.28
11.3934, 310.281
11.7795, 310.288
11.7875, 310.288
11.9151, 310.291
11.9551, 310.292
11.9988, 310.292
12.3291, 310.299
12.6318, 310.305
12.9005, 310.311
13.1312, 310.316
13.1838, 310.318
13.4099, 310.323
13.7934, 310.332
13.8984, 310.335
13.9178, 310.335
14.0079, 310.338
14.5002, 310.351
14.8071, 310.36
14.9565, 310.365
14.9821, 310.365
15.1256, 310.37
15.4573, 310.38
15.4799, 310.381
15.7013, 310.388
16.0265, 310.4
16.3236, 310.41
16.3437, 310.411
16.4908, 310.417
16.8232, 310.43
16.8734, 310.431
16.8743, 310.432
16.8746, 310.432
16.8842, 310.432
16.8973, 310.432
16.8995, 310.433
17.5532, 310.46
17.6718, 310.466
17.9363, 310.478
18.3169, 310.496
18.3393, 310.497
18.5029, 310.506
18.5223, 310.507
19.1119, 310.538
19.1344, 310.54
19.3215, 310.55
19.7029, 310.574
19.9533, 310.589
19.9779, 310.59
20.0766, 310.597
20.3354, 310.614
20.4088, 310.619
20.7977, 310.646
20.8126, 310.647
21.3653, 310.69
21.459, 310.697
21.4753, 310.698
21.4979, 310.7
21.5215, 310.702
22.0285, 310.745
22.0302, 310.745
22.0427, 310.746
22.0466, 310.746
22.0467, 310.746
22.0579, 310.747
22.5117, 310.789
22.6497, 310.802
22.6555, 310.802
22.692, 310.806
23.2866, 310.866
23.3022, 310.868
23.305, 310.868
23.9018, 310.936
23.9728, 310.944
23.9975, 310.947
24.0977, 310.96
24.6219, 311.026
24.6347, 311.028
24.798, 311.05
24.8155, 311.053
25.2729, 311.117
25.2925, 311.12
25.3124, 311.123
25.4032, 311.138
25.4572, 311.146
25.9099, 311.218
25.998, 311.233
26.0136, 311.235
26.1399, 311.258
26.3472, 311.294
26.497, 311.321
26.5161, 311.325
26.8127, 311.381
27.3776, 311.499
27.401, 311.504
27.4234, 311.509
27.4445, 311.513
27.4979, 311.526
27.9024, 311.621
28.1687, 311.689
28.1898, 311.695
28.4064, 311.753
28.4247, 311.758
28.7933, 311.866
28.8253, 311.877
29.0285, 311.94
29.235, 312.014
29.5184, 312.12
29.5517, 312.132
29.5885, 312.148
29.5914, 312.149
29.6112, 312.158
29.7828, 312.241
29.7995, 312.25
29.8053, 312.254
29.8357, 312.279
29.91, 312.341
30, 312.412
30.0391, 312.413
30.0902, 312.414
30.1189, 312.414
30.1233, 312.414
30.1263, 312.414
30.1316, 312.415
30.1685, 312.415
30.1847, 312.416
30.1954, 312.416
30.2528, 312.417
30.2545, 312.418
30.2571, 312.418
30.2882, 312.418
30.3239, 312.419
30.3481, 312.42
30.3502, 312.42
30.3839, 312.421
30.4036, 312.422
30.4308, 312.423
30.4666, 312.424
30.4896, 312.424
30.5282, 312.426
30.5584, 312.427
30.5595, 312.427
30.5598, 312.427
30.6022, 312.428
30.622, 312.429
30.6383, 312.429
30.6547, 312.43
30.6846, 312.431
30.7284, 312.433
30.7479, 312.433
30.7752, 312.434
30.8059, 312.436
30.8242, 312.436
30.8482, 312.437
30.8871, 312.439
30.9132, 312.44
30.9347, 312.441
30.9576, 312.441
30.9724, 312.442
30.9974, 312.443
31.0154, 312.444
31.0521, 312.445
31.0755, 312.446
31.0773, 312.446
31.0822, 312.447
31.1183, 312.448
31.1615, 312.45
31.167, 312.45
31.1991, 312.452
31.2175, 312.452
31.2548, 312.454
31.2622, 312.454
31.2993, 312.456
31.308, 312.457
31.3584, 312.459
