lambda,Pabs
350, 0.734653
351, 0.726707
352, 0.717529
353, 0.707323
354, 0.696279
355, 0.684571
356, 0.672369
357, 0.659844
358, 0.647175
359, 0.634543
360, 0.622122
361, 0.61007
362, 0.59852
363, 0.587564
364, 0.577263
365, 0.567644
366, 0.558711
367, 0.550456
368, 0.542873
369, 0.535959
370, 0.529723
371, 0.524184
372, 0.519364
373, 0.515286
374, 0.511969
375, 0.509418
376, 0.50763
377, 0.506588
378, 0.506266
379, 0.506632
380, 0.507655
381, 0.509302
382, 0.511549
383, 0.514374
384, 0.517767
385, 0.521721
386, 0.526232
387, 0.5313
388, 0.536921
389, 0.543087
390, 0.549779
391, 0.556972
392, 0.564627
393, 0.572699
394, 0.58113
395, 0.589859
396, 0.598823
397, 0.607957
398, 0.617199
399, 0.626489
400, 0.635772
401, 0.64499
402, 0.654087
403, 0.663002
404, 0.671669
405, 0.680017
406, 0.687969
407, 0.695441
408, 0.702352
409, 0.70862
410, 0.714173
411, 0.718946
412, 0.72289
413, 0.72597
414, 0.728164
415, 0.729468
416, 0.729889
417, 0.729445
418, 0.728162
419, 0.726073
420, 0.723214
421, 0.719624
422, 0.715345
423, 0.710422
424, 0.704903
425, 0.69884
426, 0.692287
427, 0.685304
428, 0.677951
429, 0.670294
430, 0.662396
431, 0.654323
432, 0.646137
433, 0.637896
434, 0.629653
435, 0.621458
436, 0.613353
437, 0.605373
438, 0.59755
439, 0.58991
440, 0.582473
441, 0.575259
442, 0.568281
443, 0.561556
444, 0.555093
445, 0.548906
446, 0.543006
447, 0.537402
448, 0.532105
449, 0.527124
450, 0.522466
451, 0.518136
452, 0.51414
453, 0.510476
454, 0.507145
455, 0.504139
456, 0.50145
457, 0.499067
458, 0.496971
459, 0.495145
460, 0.493564
461, 0.492203
462, 0.491035
463, 0.490028
464, 0.489153
465, 0.488375
466, 0.487663
467, 0.486985
468, 0.486308
469, 0.485602
470, 0.484839
471, 0.483992
472, 0.483038
473, 0.481954
474, 0.480724
475, 0.479334
476, 0.477773
477, 0.476034
478, 0.474115
479, 0.472016
480, 0.469744
481, 0.467305
482, 0.464711
483, 0.461975
484, 0.459114
485, 0.456144
486, 0.453087
487, 0.44996
488, 0.446785
489, 0.443583
490, 0.440373
491, 0.437175
492, 0.434009
493, 0.430891
494, 0.427837
495, 0.424863
496, 0.421982
497, 0.419204
498, 0.416538
499, 0.413992
500, 0.411571
501, 0.409278
502, 0.407112
503, 0.405072
504, 0.403154
505, 0.401353
506, 0.399659
507, 0.398065
508, 0.396556
509, 0.395122
510, 0.393746
511, 0.392413
512, 0.391107
513, 0.38981
514, 0.388505
515, 0.387171
516, 0.385792
517, 0.384347
518, 0.382819
519, 0.381188
520, 0.379436
521, 0.377545
522, 0.375498
523, 0.373277
524, 0.370867
525, 0.368254
526, 0.365422
527, 0.362362
528, 0.359061
529, 0.355512
530, 0.351709
531, 0.347648
532, 0.343326
533, 0.338747
534, 0.333913
535, 0.328831
536, 0.323511
537, 0.317965
538, 0.312208
539, 0.306256
540, 0.300128
541, 0.293845
542, 0.287428
543, 0.280901
544, 0.274286
545, 0.267607
546, 0.260888
547, 0.254151
548, 0.247418
549, 0.240712
550, 0.23405
551, 0.227453
552, 0.220936
553, 0.214514
554, 0.208201
555, 0.202008
556, 0.195946
557, 0.190021
558, 0.184242
559, 0.178613
560, 0.173138
561, 0.167821
562, 0.162662
563, 0.157662
564, 0.152822
565, 0.148141
566, 0.143617
567, 0.139248
568, 0.135033
569, 0.130969
570, 0.127052
571, 0.12328
572, 0.119649
573, 0.116155
574, 0.112795
575, 0.109565
576, 0.106461
577, 0.10348
578, 0.100616
579, 0.0978667
580, 0.0952276
581, 0.0926946
582, 0.0902639
583, 0.0879315
584, 0.0856937
585, 0.0835467
586, 0.081487
587, 0.0795108
588, 0.0776149
589, 0.075796
590, 0.0740508
591, 0.0723762
592, 0.0707694
593, 0.0692274
594, 0.0677476
595, 0.0663274
596, 0.0649642
597, 0.0636558
598, 0.0623997
599, 0.061194
600, 0.0600363
601, 0.0589249
602, 0.0578577
603, 0.0568331
604, 0.0558491
605, 0.0549043
606, 0.0539971
607, 0.053126
608, 0.0522895
609, 0.0514864
610, 0.0507154
611, 0.0499754
612, 0.0492651
613, 0.0485835
614, 0.0479296
615, 0.0473025
616, 0.0467011
617, 0.0461248
618, 0.0455725
619, 0.0450436
620, 0.0445373
621, 0.0440528
622, 0.0435894
623, 0.0431466
624, 0.0427235
625, 0.0423196
626, 0.0419343
627, 0.0415669
628, 0.041217
629, 0.0408839
630, 0.0405671
631, 0.0402662
632, 0.0399805
633, 0.0397096
634, 0.0394531
635, 0.0392106
636, 0.0389815
637, 0.0387656
638, 0.0385624
639, 0.0383715
640, 0.0381927
641, 0.0380256
642, 0.0378698
643, 0.0377251
644, 0.0375912
645, 0.0374679
646, 0.0373548
647, 0.0372517
648, 0.0371584
649, 0.0370747
650, 0.0370002
651, 0.0369349
652, 0.0368784
653, 0.0368306
654, 0.0367912
655, 0.0367601
656, 0.036737
657, 0.0367218
658, 0.0367142
659, 0.0367141
660, 0.0367213
661, 0.0367355
662, 0.0367566
663, 0.0367843
664, 0.0368185
665, 0.036859
666, 0.0369056
667, 0.036958
668, 0.0370161
669, 0.0370796
670, 0.0371483
671, 0.037222
672, 0.0373005
673, 0.0373835
674, 0.0374707
675, 0.0375619
676, 0.0376569
677, 0.0377553
678, 0.0378569
679, 0.0379613
680, 0.0380683
681, 0.0381776
682, 0.0382887
683, 0.0384014
684, 0.0385153
685, 0.03863
686, 0.0387452
687, 0.0388606
688, 0.0389757
689, 0.0390901
690, 0.0392035
691, 0.0393155
692, 0.0394257
693, 0.0395336
694, 0.039639
695, 0.0397413
696, 0.0398402
697, 0.0399353
698, 0.0400262
699, 0.0401125
700, 0.0401938


