X,T
0, 311.306
0.0204763, 311.307
0.397948, 311.309
0.712896, 311.314
0.732433, 311.314
0.762901, 311.314
0.778966, 311.314
0.799822, 311.315
1.14532, 311.323
1.26495, 311.327
1.28287, 311.328
1.43727, 311.333
1.47203, 311.335
1.85473, 311.351
1.95117, 311.355
2.05357, 311.361
2.42709, 311.383
2.47222, 311.386
2.48073, 311.387
2.57143, 311.392
2.9882, 311.424
3.07093, 311.43
3.10682, 311.433
3.11597, 311.433
3.13231, 311.435
3.58938, 311.476
3.7044, 311.487
3.72624, 311.49
3.96506, 311.516
4.24956, 311.547
4.26589, 311.549
4.824, 311.621
4.86524, 311.627
4.88221, 311.629
4.99768, 311.646
5.41967, 311.711
5.44087, 311.715
5.64443, 311.75
5.97396, 311.808
5.98884, 311.811
6.16338, 311.844
6.59951, 311.935
6.80147, 311.977
6.81596, 311.98
6.92106, 312.004
6.9489, 312.011
7.30281, 312.097
7.32191, 312.102
7.77248, 312.225
7.81475, 312.237
7.96881, 312.281
8.07004, 312.315
8.11032, 312.328
8.71822, 312.533
8.74112, 312.541
9.01653, 312.649
9.0404, 312.659
9.09366, 312.682
9.32986, 312.782
9.59039, 312.913
9.60953, 312.924
9.65366, 312.947
9.67613, 312.961
9.73026, 312.995
9.79193, 313.032
9.81752, 313.055
9.8342, 313.07
9.86683, 313.101
9.94566, 313.185
10, 313.244
10.0411, 313.244
10.0444, 313.245
10.08, 313.245
10.1257, 313.247
10.1327, 313.247
10.1512, 313.247
10.1791, 313.248
10.1862, 313.248
10.2067, 313.249
10.2259, 313.249
10.2689, 313.251
10.276, 313.251
10.32, 313.253
10.3257, 313.253
10.3305, 313.253
10.3336, 313.253
10.3804, 313.255
10.3903, 313.255
10.4385, 313.257
10.4527, 313.258
10.4616, 313.258
10.4798, 313.259
10.5223, 313.26
10.5417, 313.261
10.5592, 313.262
10.5826, 313.263
10.6483, 313.266
10.6533, 313.266
10.6625, 313.266
10.7017, 313.268
10.7151, 313.269
10.7715, 313.271
10.802, 313.273
10.8085, 313.273
10.8183, 313.274
10.8482, 313.275
10.8737, 313.276
10.8886, 313.277
10.9402, 313.28
10.9574, 313.281
10.9747, 313.282
11.0064, 313.283
11.0427, 313.285
11.0481, 313.285
11.0549, 313.286
11.0716, 313.287
11.1005, 313.288
11.1055, 313.288
11.1209, 313.289
11.1574, 313.291
11.1583, 313.291
11.193, 313.293
11.2012, 313.294
11.2267, 313.295
11.2669, 313.297
11.2818, 313.298
11.3048, 313.299
11.3464, 313.302
11.3653, 313.303
11.3723, 313.303
11.4122, 313.306
11.4349, 313.307
11.4663, 313.309
11.4712, 313.309
11.5201, 313.312
11.5217, 313.312
11.5236, 313.312
11.5252, 313.312
11.5674, 313.315
11.5899, 313.316
11.6005, 313.317
11.6306, 313.319
11.6479, 313.32
11.6618, 313.321
11.7008, 313.323
11.7311, 313.325
11.7498, 313.326
11.7582, 313.327
11.7829, 313.329
11.796, 313.329
11.8296, 313.332
11.8558, 313.333
11.881, 313.335
11.8905, 313.336
11.9189, 313.338
11.9322, 313.338
11.9576, 313.34
11.9694, 313.341
11.9931, 313.342
12.0027, 313.343
12.0294, 313.345
12.0337, 313.345
12.0347, 313.345
12.036, 313.345
12.092, 313.349
12.1086, 313.35
12.1424, 313.353
12.1485, 313.353
12.1764, 313.355
12.2068, 313.357
12.2388, 313.359
12.2589, 313.361
12.2838, 313.363
12.3142, 313.365
12.3376, 313.367
12.3772, 313.369
12.3994, 313.371
12.4234, 313.373
12.4447, 313.374
12.4671, 313.376
12.5193, 313.38
12.5591, 313.383
12.5606, 313.383
12.5613, 313.383
12.5949, 313.386
12.5967, 313.386
12.6472, 313.389
12.6558, 313.39
12.6667, 313.391
12.6919, 313.393
12.7057, 313.394
12.7299, 313.396
12.7429, 313.397
12.7502, 313.397
12.7699, 313.399
12.8291, 313.404
12.8396, 313.404
12.8743, 313.407
12.892, 313.409
12.9148, 313.41
12.9541, 313.413
12.9611, 313.414
13.0008, 313.417
13.0052, 313.418
13.0605, 313.422
13.0679, 313.423
13.0748, 313.423
13.1006, 313.425
13.1319, 313.428
13.1397, 313.429
13.1654, 313.431
13.1812, 313.432
13.201, 313.434
13.2309, 313.436
13.2341, 313.436
13.2385, 313.437
13.2916, 313.441
13.3094, 313.443
13.3154, 313.443
13.3605, 313.447
13.3671, 313.448
13.4097, 313.451
13.4297, 313.453
13.4494, 313.455
13.4689, 313.456
13.4775, 313.457
13.486, 313.458
13.4999, 313.459
13.5339, 313.462
13.5424, 313.463
13.5436, 313.463
13.5774, 313.466
13.6113, 313.469
13.6426, 313.472
13.6636, 313.474
13.7012, 313.477
13.7127, 313.478
13.7371, 313.48
13.7551, 313.482
13.7909, 313.485
13.8055, 313.486
13.8212, 313.488
13.8738, 313.493
13.8749, 313.493
13.8769, 313.493
13.9243, 313.497
13.9403, 313.499
13.9666, 313.501
14.0139, 313.506
14.0342, 313.508
14.0649, 313.51
14.0787, 313.512
14.116, 313.515
14.1249, 313.516
14.1341, 313.517
14.1631, 313.52
14.1788, 313.521
14.206, 313.524
14.2313, 313.526
14.2479, 313.528
14.2691, 313.53
14.2847, 313.531
14.3287, 313.536
14.3427, 313.537
14.3692, 313.54
14.3939, 313.542
14.4002, 313.543
14.4176, 313.545
14.4455, 313.547
14.4764, 313.55
14.4907, 313.552
14.5179, 313.555
14.5501, 313.558
14.5938, 313.562
14.6049, 313.563
14.6111, 313.564
14.6385, 313.567
14.6616, 313.569
14.7091, 313.574
14.7449, 313.578
14.7547, 313.579
14.7912, 313.582
14.8217, 313.586
14.8331, 313.587
14.8362, 313.587
14.8934, 313.593
14.907, 313.594
14.937, 313.598
14.9474, 313.599
14.9791, 313.602
14.9886, 313.603
15.0075, 313.605
15.0247, 313.607
15.037, 313.608
15.066, 313.611
15.0999, 313.615
15.1089, 313.616
15.1225, 313.617
