lambda,Pabs
350, 0.893301
351, 0.886531
352, 0.877658
353, 0.86699
354, 0.854786
355, 0.841307
356, 0.826897
357, 0.811832
358, 0.796345
359, 0.780538
360, 0.764654
361, 0.749044
362, 0.733868
363, 0.719257
364, 0.705311
365, 0.69211
366, 0.679733
367, 0.668249
368, 0.657675
369, 0.647952
370, 0.639021
371, 0.630925
372, 0.623741
373, 0.617498
374, 0.612195
375, 0.607816
376, 0.604341
377, 0.601751
378, 0.600027
379, 0.59915
380, 0.599103
381, 0.599866
382, 0.60142
383, 0.603746
384, 0.606825
385, 0.610643
386, 0.615249
387, 0.620601
388, 0.626432
389, 0.632923
390, 0.640048
391, 0.647765
392, 0.656037
393, 0.664824
394, 0.674084
395, 0.683769
396, 0.693824
397, 0.704188
398, 0.714795
399, 0.725575
400, 0.736455
401, 0.747361
402, 0.758213
403, 0.768918
404, 0.77938
405, 0.789508
406, 0.79922
407, 0.808426
408, 0.81703
409, 0.824945
410, 0.832095
411, 0.838418
412, 0.843842
413, 0.848299
414, 0.851755
415, 0.854198
416, 0.855594
417, 0.855935
418, 0.85525
419, 0.853551
420, 0.850852
421, 0.847222
422, 0.842703
423, 0.837337
424, 0.831218
425, 0.824397
426, 0.816942
427, 0.808952
428, 0.800473
429, 0.791598
430, 0.7824
431, 0.772934
432, 0.763295
433, 0.753518
434, 0.743689
435, 0.73385
436, 0.724056
437, 0.714362
438, 0.704797
439, 0.695421
440, 0.686245
441, 0.677324
442, 0.668661
443, 0.660304
444, 0.65225
445, 0.644538
446, 0.637159
447, 0.630149
448, 0.623492
449, 0.617218
450, 0.611308
451, 0.605782
452, 0.600625
453, 0.595844
454, 0.591434
455, 0.587383
456, 0.583705
457, 0.580379
458, 0.577405
459, 0.574611
460, 0.571928
461, 0.569519
462, 0.56736
463, 0.56542
464, 0.563643
465, 0.561979
466, 0.560412
467, 0.558883
468, 0.557364
469, 0.555833
470, 0.554236
471, 0.552555
472, 0.550772
473, 0.548845
474, 0.546763
475, 0.544524
476, 0.5421
477, 0.539486
478, 0.536698
479, 0.533732
480, 0.530583
481, 0.527276
482, 0.523837
483, 0.520268
484, 0.516587
485, 0.512834
486, 0.509043
487, 0.505227
488, 0.501415
489, 0.497647
490, 0.493948
491, 0.490285
492, 0.48659
493, 0.482838
494, 0.479089
495, 0.475855
496, 0.472161
497, 0.468779
498, 0.465589
499, 0.462571
500, 0.459725
501, 0.457044
502, 0.45452
503, 0.452144
504, 0.44991
505, 0.447811
506, 0.445839
507, 0.443984
508, 0.442235
509, 0.440576
