lambda,Pabs
350, 0.736782
351, 0.728806
352, 0.719595
353, 0.709356
354, 0.698275
355, 0.686529
356, 0.674287
357, 0.661723
358, 0.649016
359, 0.636347
360, 0.623892
361, 0.61181
362, 0.60023
363, 0.589248
364, 0.578922
365, 0.569279
366, 0.560322
367, 0.552045
368, 0.54444
369, 0.537507
370, 0.531255
371, 0.525703
372, 0.520873
373, 0.516789
374, 0.513468
375, 0.510916
376, 0.509128
377, 0.508087
378, 0.507767
379, 0.508138
380, 0.509165
381, 0.510818
382, 0.513072
383, 0.515908
384, 0.519313
385, 0.523281
386, 0.527809
387, 0.532895
388, 0.538537
389, 0.544724
390, 0.551439
391, 0.558656
392, 0.566337
393, 0.574433
394, 0.58289
395, 0.591645
396, 0.600635
397, 0.609795
398, 0.619063
399, 0.628379
400, 0.637688
401, 0.646933
402, 0.656056
403, 0.664997
404, 0.67369
405, 0.682062
406, 0.690035
407, 0.697527
408, 0.704454
409, 0.710737
410, 0.716301
411, 0.721083
412, 0.725033
413, 0.728115
414, 0.730311
415, 0.731615
416, 0.732033
417, 0.731585
418, 0.730296
419, 0.728198
420, 0.725327
421, 0.721723
422, 0.717428
423, 0.712487
424, 0.706949
425, 0.700864
426, 0.694289
427, 0.687282
428, 0.679905
429, 0.672224
430, 0.664303
431, 0.656207
432, 0.647997
433, 0.639733
434, 0.631467
435, 0.623249
436, 0.615121
437, 0.607119
438, 0.599274
439, 0.591612
440, 0.584154
441, 0.576919
442, 0.569921
443, 0.563176
444, 0.556695
445, 0.550491
446, 0.544574
447, 0.538955
448, 0.533643
449, 0.528649
450, 0.523979
451, 0.519639
452, 0.515632
453, 0.51196
454, 0.508621
455, 0.505609
456, 0.502914
457, 0.500525
458, 0.498425
459, 0.496594
460, 0.49501
461, 0.493646
462, 0.492474
463, 0.491465
464, 0.490586
465, 0.489807
466, 0.489093
467, 0.488413
468, 0.487734
469, 0.487027
470, 0.486263
471, 0.485415
472, 0.484459
473, 0.483374
474, 0.482142
475, 0.480749
476, 0.479184
477, 0.477441
478, 0.475518
479, 0.473414
480, 0.471136
481, 0.46869
482, 0.466089
483, 0.463345
484, 0.460476
485, 0.457498
486, 0.454431
487, 0.451295
488, 0.448111
489, 0.444899
490, 0.44168
491, 0.438473
492, 0.435297
493, 0.43217
494, 0.429108
495, 0.426126
496, 0.423237
497, 0.420451
498, 0.417779
499, 0.415226
500, 0.412799
501, 0.410499
502, 0.408328
503, 0.406282
504, 0.40436
505, 0.402553
506, 0.400855
507, 0.399255
508, 0.397742
509, 0.396303
510, 0.394923
511, 0.393585
512, 0.392275
513, 0.390973
514, 0.389663
515, 0.388324
516, 0.38694
517, 0.385491
518, 0.383957
519, 0.382321
520, 0.380563
521, 0.378666
522, 0.376612
523, 0.374385
524, 0.371967
525, 0.369346
526, 0.366506
527, 0.363435
528, 0.360124
529, 0.356564
530, 0.352748
531, 0.348673
532, 0.344338
533, 0.339743
534, 0.334894
535, 0.329795
536, 0.324459
537, 0.318895
538, 0.31312
539, 0.307149
540, 0.301002
541, 0.2947
542, 0.288263
543, 0.281716
544, 0.275081
545, 0.268383
546, 0.261644
547, 0.254887
548, 0.248135
549, 0.241409
550, 0.234728
551, 0.228111
552, 0.221575
553, 0.215135
554, 0.208804
555, 0.202593
556, 0.196512
557, 0.190571
558, 0.184775
559, 0.179129
560, 0.173639
561, 0.168305
562, 0.163131
563, 0.158117
564, 0.153263
565, 0.148568
566, 0.144031
567, 0.13965
568, 0.135423
569, 0.131347
570, 0.127419
571, 0.123636
572, 0.119994
573, 0.11649
574, 0.113121
575, 0.109882
576, 0.106769
577, 0.103779
578, 0.100908
579, 0.0981505
580, 0.0955039
581, 0.0929638
582, 0.0905262
583, 0.0881873
584, 0.0859431
585, 0.08379
586, 0.0817244
587, 0.0797426
588, 0.0778413
589, 0.0760171
590, 0.0742668
591, 0.0725874
592, 0.0709759
593, 0.0694295
