lambda,Pabs
350, 0.902213
351, 0.895603
352, 0.88668
353, 0.875766
354, 0.863255
355, 0.849547
356, 0.835
357, 0.819895
358, 0.804435
359, 0.788766
360, 0.77301
361, 0.757293
362, 0.741763
363, 0.726597
364, 0.711984
365, 0.698106
366, 0.685115
367, 0.673113
368, 0.66215
369, 0.65222
370, 0.643281
371, 0.635266
372, 0.62811
373, 0.621761
374, 0.616194
375, 0.611413
376, 0.607445
377, 0.604334
378, 0.602122
379, 0.600844
380, 0.600515
381, 0.601122
382, 0.602632
383, 0.604989
384, 0.608128
385, 0.611981
386, 0.616488
387, 0.621601
388, 0.627292
389, 0.63355
390, 0.640375
391, 0.64778
392, 0.655774
393, 0.664358
394, 0.673519
395, 0.683221
396, 0.693406
397, 0.703994
398, 0.714885
399, 0.725971
400, 0.73714
401, 0.748284
402, 0.759306
403, 0.770124
404, 0.780669
405, 0.79088
406, 0.800704
407, 0.810084
408, 0.818958
409, 0.82725
410, 0.834878
411, 0.841746
412, 0.847761
413, 0.852829
414, 0.856873
415, 0.859833
416, 0.861674
417, 0.862387
418, 0.86199
419, 0.86052
420, 0.858034
421, 0.854598
422, 0.850284
423, 0.845162
424, 0.839299
425, 0.832757
426, 0.825592
427, 0.817859
428, 0.80961
429, 0.800899
430, 0.791783
431, 0.782326
432, 0.772597
433, 0.762667
434, 0.752614
435, 0.742513
436, 0.732437
437, 0.722457
438, 0.712631
439, 0.703014
440, 0.693645
441, 0.684557
442, 0.675773
443, 0.667304
444, 0.659161
445, 0.651344
446, 0.643855
447, 0.636694
448, 0.629861
449, 0.62336
450, 0.617192
451, 0.611364
452, 0.605883
453, 0.600753
454, 0.595981
455, 0.591567
456, 0.587512
457, 0.583809
458, 0.580447
459, 0.57741
460, 0.574676
461, 0.572216
462, 0.57
463, 0.56799
464, 0.566146
465, 0.564427
466, 0.562789
467, 0.56119
468, 0.559589
469, 0.557946
470, 0.556226
471, 0.554399
472, 0.552438
473, 0.550323
474, 0.548038
475, 0.545575
476, 0.54293
477, 0.540103
478, 0.537099
479, 0.533929
480, 0.530603
481, 0.527136
482, 0.523546
483, 0.519849
484, 0.516063
485, 0.512209
486, 0.508305
487, 0.504369
488, 0.500421
489, 0.496478
490, 0.492558
491, 0.488678
492, 0.484853
493, 0.4811
494, 0.477431
495, 0.473861
496, 0.470401
497, 0.467064
498, 0.463857
499, 0.460792
500, 0.457873
501, 0.455107
502, 0.452497
503, 0.450044
504, 0.447748
505, 0.445605
506, 0.44361
507, 0.441755
508, 0.44003
509, 0.438419
510, 0.436909
511, 0.435482
512, 0.434117
513, 0.432793
514, 0.431489
515, 0.430181
516, 0.428845
517, 0.427459
518, 0.425998
519, 0.424442
520, 0.422768
521, 0.420957
522, 0.418989
523, 0.416848
524, 0.414515
525, 0.411978
526, 0.409221
527, 0.406233
528, 0.403003
529, 0.399521
530, 0.395779
531, 0.391771
532, 0.387491
533, 0.382938
534, 0.37811
535, 0.373009
536, 0.36764
537, 0.362009
538, 0.356127
539, 0.350005
540, 0.343658
541, 0.337106
542, 0.330367
543, 0.323464
544, 0.316421
545, 0.309262
546, 0.302014
547, 0.294702
548, 0.287354
549, 0.279993
550, 0.272645
551, 0.265333
552, 0.258079
553, 0.250902
554, 0.24382
555, 0.23685
556, 0.230004
557, 0.223295
558, 0.216732
559, 0.210323
560, 0.204074
561, 0.197989
562, 0.192072
563, 0.186325
564, 0.180748
565, 0.175342
566, 0.170106
567, 0.165038
568, 0.160138
569, 0.155402
570, 0.150828
571, 0.146413
572, 0.142155
573, 0.138049
574, 0.134093
575, 0.130284
576, 0.126617
577, 0.123088
578, 0.119695
579, 0.116432
580, 0.113297
581, 0.110284
582, 0.107391
583, 0.104613
584, 0.101945
585, 0.0993852
586, 0.0969281
587, 0.0945702
588, 0.0923077
589, 0.0901368
590, 0.0880539
591, 0.0860553
592, 0.0841376
593, 0.0822973
594, 0.0805311
595, 0.078836
596, 0.0772088
597, 0.0756465
598, 0.0741464
599, 0.0727057
600, 0.0713219
601, 0.0699925
602, 0.0687152
603, 0.0674879
604, 0.0663084
605, 0.0651748
606, 0.0640853
607, 0.0630381
608, 0.0620317
609, 0.0610645
610, 0.0601351
611, 0.0592423
612, 0.0583846
613, 0.057561
614, 0.0567703
615, 0.0560114
616, 0.0552834
617, 0.0545852
618, 0.0539159
619, 0.0532746
620, 0.0526605
621, 0.0520726
622, 0.0515102
623, 0.0509724
624, 0.0504585
625, 0.0499677
626, 0.0494994
627, 0.0490527
628, 0.0486271
629, 0.0482217
630, 0.0478361
631, 0.0474695
632, 0.0471214
633, 0.0467911
634, 0.0464782
635, 0.046182
636, 0.045902
637, 0.0456378
638, 0.0453887
639, 0.0451545
640, 0.0449345
641, 0.0447285
642, 0.0445359
643, 0.0443563
644, 0.0441895
645, 0.044035
646, 0.0438925
647, 0.0437616
648, 0.0436422
649, 0.0435338
650, 0.0434363
651, 0.0433493
652, 0.0432727
653, 0.0432062
654, 0.0431495
655, 0.0431026
656, 0.0430652
657, 0.0430371
658, 0.0430182
659, 0.0430083
660, 0.0430071
661, 0.0430146
662, 0.0430305
663, 0.0430546
664, 0.0430868
665, 0.0431269
666, 0.0431747
667, 0.0432299
668, 0.0432923
669, 0.0433617
670, 0.0434378
671, 0.0435203
672, 0.0436091
673, 0.0437038
674, 0.043804
675, 0.0439096
676, 0.0440201
677, 0.0441352
678, 0.0442546
679, 0.0443779
680, 0.0445048
681, 0.0446348
682, 0.0447677
683, 0.0449029
684, 0.0450402
685, 0.045179
686, 0.0453191
687, 0.0454599
688, 0.045601
689, 0.0457421
690, 0.0458826
691, 0.0460222
692, 0.0461603
693, 0.0462967
694, 0.0464308
695, 0.0465621
696, 0.0466903
697, 0.0468149
698, 0.0469354
699, 0.0470515
700, 0.0471627


