lambda,Pabs
350, 0.274398
351, 0.274109
352, 0.273766
353, 0.273397
354, 0.272972
355, 0.27252
356, 0.27203
357, 0.271496
358, 0.27094
359, 0.27033
360, 0.269697
361, 0.269022
362, 0.268312
363, 0.267582
364, 0.266812
365, 0.266037
366, 0.265228
367, 0.264419
368, 0.26359
369, 0.262759
370, 0.261919
371, 0.26107
372, 0.260222
373, 0.259359
374, 0.258503
375, 0.257632
376, 0.256776
377, 0.255908
378, 0.255061
379, 0.254209
380, 0.253384
381, 0.252561
382, 0.251769
383, 0.250982
384, 0.250229
385, 0.249481
386, 0.248767
387, 0.248056
388, 0.24738
389, 0.246706
390, 0.246065
391, 0.245428
392, 0.244827
393, 0.244232
394, 0.243674
395, 0.243127
396, 0.242617
397, 0.242124
398, 0.241663
399, 0.241225
400, 0.240808
401, 0.240423
402, 0.240049
403, 0.23971
404, 0.239373
405, 0.239071
406, 0.238769
407, 0.238498
408, 0.238233
409, 0.237988
410, 0.237763
411, 0.237544
412, 0.237357
413, 0.23717
414, 0.237016
415, 0.236867
416, 0.236741
417, 0.236632
418, 0.236527
419, 0.236451
420, 0.236369
421, 0.236313
422, 0.236257
423, 0.236209
424, 0.236179
425, 0.23614
426, 0.236125
427, 0.236106
428, 0.236098
429, 0.236106
430, 0.23611
431, 0.236139
432, 0.23617
433, 0.236213
434, 0.236277
435, 0.23634
436, 0.236428
437, 0.236524
438, 0.236628
439, 0.236755
440, 0.236883
441, 0.23703
442, 0.23719
443, 0.237354
444, 0.237541
445, 0.237733
446, 0.23794
447, 0.238165
448, 0.238397
449, 0.238648
450, 0.238914
451, 0.239188
452, 0.239484
453, 0.239787
454, 0.2401
455, 0.240428
456, 0.240753
457, 0.241084
458, 0.241413
459, 0.241728
460, 0.242033
461, 0.242317
462, 0.242568
463, 0.24279
464, 0.242966
465, 0.243087
466, 0.243154
467, 0.243152
468, 0.243071
469, 0.242915
470, 0.242666
471, 0.24232
472, 0.241878
473, 0.241329
474, 0.240666
475, 0.239897
476, 0.239011
477, 0.238004
478, 0.236886
479, 0.235651
480, 0.234294
481, 0.232829
482, 0.231253
483, 0.229563
484, 0.227772
485, 0.225883
486, 0.223893
487, 0.221813
488, 0.219654
489, 0.217411
490, 0.215091
491, 0.212711
492, 0.210268
493, 0.207765
494, 0.205217
495, 0.202629
496, 0.199997
497, 0.197335
498, 0.194652
499, 0.191943
500, 0.189216
501, 0.186482
502, 0.18374
503, 0.180987
504, 0.178239
505, 0.175497
506, 0.172757
507, 0.17002
508, 0.167301
509, 0.164592
510, 0.161897
511, 0.159219
512, 0.156564
513, 0.153918
514, 0.151294
515, 0.148699
516, 0.146126
517, 0.143573
518, 0.141044
519, 0.13855
520, 0.13607
521, 0.133625
522, 0.131213
523, 0.128835
524, 0.126471
525, 0.124142
526, 0.121857
527, 0.119595
528, 0.117371
529, 0.115178
530, 0.11303
531, 0.110892
532, 0.108795
533, 0.106747
534, 0.104732
535, 0.102749
536, 0.10078
