lambda,Pabs
350, 0.262246
351, 0.261998
352, 0.261722
353, 0.261404
354, 0.261045
355, 0.260662
356, 0.260228
357, 0.259765
358, 0.25926
359, 0.258708
360, 0.258131
361, 0.257501
362, 0.256852
363, 0.256166
364, 0.255462
365, 0.254741
366, 0.253998
367, 0.253254
368, 0.252486
369, 0.251722
370, 0.250935
371, 0.25015
372, 0.249346
373, 0.24854
374, 0.247726
375, 0.24691
376, 0.246098
377, 0.245285
378, 0.244486
379, 0.243692
380, 0.24292
381, 0.242155
382, 0.241416
383, 0.240684
384, 0.239979
385, 0.23928
386, 0.238609
387, 0.237943
388, 0.237302
389, 0.236671
390, 0.236066
391, 0.235474
392, 0.234908
393, 0.234361
394, 0.233841
395, 0.233346
396, 0.232872
397, 0.23243
398, 0.232003
399, 0.231612
400, 0.231229
401, 0.230882
402, 0.23054
403, 0.230231
404, 0.229928
405, 0.229651
406, 0.229387
407, 0.229137
408, 0.228912
409, 0.228691
410, 0.228503
411, 0.228316
412, 0.228163
413, 0.228014
414, 0.227887
415, 0.227778
416, 0.227674
417, 0.227598
418, 0.227518
419, 0.227464
420, 0.227411
421, 0.227369
422, 0.227343
423, 0.22731
424, 0.227302
425, 0.227289
426, 0.22729
427, 0.227301
428, 0.227312
429, 0.227346
430, 0.227377
431, 0.227424
432, 0.227485
433, 0.227547
434, 0.227633
435, 0.22772
436, 0.227821
437, 0.227939
438, 0.228058
439, 0.228199
440, 0.228346
441, 0.228503
442, 0.22868
443, 0.22886
444, 0.22906
445, 0.229273
446, 0.229494
447, 0.229739
448, 0.229993
449, 0.230264
450, 0.230554
451, 0.230854
452, 0.231173
453, 0.231507
454, 0.231847
455, 0.232202
456, 0.232562
457, 0.232922
458, 0.233286
459, 0.233639
460, 0.233981
461, 0.234308
462, 0.234605
463, 0.234874
464, 0.235104
465, 0.235282
466, 0.235408
467, 0.235472
468, 0.235461
469, 0.235375
470, 0.235203
471, 0.234934
472, 0.234571
473, 0.234105
474, 0.233526
475, 0.232839
476, 0.232038
477, 0.231115
478, 0.23008
479, 0.228928
480, 0.227654
481, 0.226267
482, 0.224771
483, 0.22316
484, 0.221444
485, 0.219631
486, 0.217717
487, 0.215709
488, 0.213622
489, 0.211453
490, 0.209205
491, 0.206894
492, 0.204522
493, 0.20209
494, 0.199611
495, 0.197092
496, 0.194531
497, 0.191936
498, 0.18932
499, 0.18668
500, 0.184021
501, 0.18135
502, 0.178674
503, 0.175987
504, 0.173301
505, 0.17062
506, 0.167945
507, 0.165269
508, 0.162608
509, 0.159961
510, 0.157325
511, 0.154704
512, 0.152105
513, 0.149523
514, 0.146954
515, 0.144414
516, 0.141899
517, 0.139408
518, 0.136932
519, 0.134493
520, 0.132075
521, 0.129686
522, 0.127329
523, 0.125004
524, 0.122708
525, 0.120429
526, 0.118197
527, 0.115994
528, 0.11383
529, 0.111688
530, 0.109586
531, 0.107517
532, 0.105469
533, 0.103471
534, 0.101506
535, 0.0995836
536, 0.0976687
537, 0.0957967
538, 0.0939664
539, 0.0921604
540, 0.0903985
541, 0.0886613
542, 0.0869684
543, 0.0852887
544, 0.0836332
545, 0.0820293
546, 0.080455
547, 0.0789232
548, 0.0773943
549, 0.0759015
550, 0.0744555
551, 0.0730083
552, 0.0716137
553, 0.0702491
554, 0.0689183
555, 0.0676254
556, 0.0663002
557, 0.0650444
558, 0.0638182
559, 0.0626193
560, 0.0614564
561, 0.0602964
562, 0.0591854
563, 0.0580863
564, 0.0569816
565, 0.0559363
566, 0.0549248
567, 0.0539387
568, 0.0529784
569, 0.051987
570, 0.0510605
571, 0.0501479
572, 0.0492394
573, 0.0483803
574, 0.0475456
575, 0.0467299
576, 0.0459493
577, 0.045097
578, 0.0443215
579, 0.0435758
580, 0.0428371
581, 0.0421315
582, 0.041441
583, 0.0407492
584, 0.0400976
585, 0.0394136
586, 0.0387375
587, 0.0381186
588, 0.0375289
589, 0.036942
590, 0.036384
591, 0.0357737
592, 0.0352102
593, 0.0346789
594, 0.0341075
595, 0.0335802
596, 0.0330746
597, 0.0326038
598, 0.0321368
599, 0.0316863
600, 0.0311384
601, 0.0306893
602, 0.0302589
603, 0.0298212
604, 0.0294248
605, 0.0290006
606, 0.028587
607, 0.0282215
608, 0.0278519
609, 0.0274428
610, 0.0270485
611, 0.0266955
612, 0.0263493
613, 0.0260436
614, 0.0257215
615, 0.0253688
616, 0.0250271
617, 0.0247339
618, 0.0244367
619, 0.0240802
620, 0.0237883
621, 0.0235108
622, 0.0232449
623, 0.0230172
624, 0.0227661
625, 0.0224144
626, 0.0221348
627, 0.0219122
628, 0.0216848
629, 0.0214758
630, 0.0212226
631, 0.0209615
632, 0.0207358
633, 0.0205572
634, 0.0203763
635, 0.0201513
636, 0.0199198
637, 0.0196969
638, 0.0195118
639, 0.0193508
640, 0.0191324
641, 0.0189347
642, 0.018765
643, 0.0185997
644, 0.0184454
645, 0.0182853
646, 0.0180222
647, 0.0177712
648, 0.0176371
649, 0.0175073
650, 0.0173785
651, 0.0172533
652, 0.0170986
653, 0.0168327
654, 0.0166737
655, 0.0165701
656, 0.0164152
657, 0.016246
658, 0.0161666
659, 0.016041
660, 0.0158709
661, 0.0157784
662, 0.0156636
663, 0.0154563
664, 0.015285
665, 0.0152064
666, 0.0151356
667, 0.0150495
668, 0.0149781
669, 0.0148537
670, 0.0146402
671, 0.0144677
672, 0.0144165
673, 0.0143538
674, 0.0142745
675, 0.014239
676, 0.0141718
677, 0.0139508
678, 0.0138157
679, 0.0138
680, 0.0137238
681, 0.0135453
682, 0.0135298
683, 0.013491
684, 0.0133726
685, 0.0132753
686, 0.0133093
687, 0.0132663
688, 0.0130265
689, 0.0128753
690, 0.0128423
691, 0.0127613
692, 0.0127043
693, 0.0127794
694, 0.0128163
695, 0.0127377
696, 0.0124706
697, 0.0123267
698, 0.012256
699, 0.0122107
700, 0.0121504


