lambda,Pabs
350, 0.482294
351, 0.482009
352, 0.48161
353, 0.481123
354, 0.480571
355, 0.479982
356, 0.479371
357, 0.47873
358, 0.478047
359, 0.477294
360, 0.47645
361, 0.475502
362, 0.474441
363, 0.473283
364, 0.47205
365, 0.470771
366, 0.46947
367, 0.468164
368, 0.466864
369, 0.465569
370, 0.464275
371, 0.462969
372, 0.461643
373, 0.460289
374, 0.458904
375, 0.457484
376, 0.456038
377, 0.454574
378, 0.453107
379, 0.451651
380, 0.450224
381, 0.448836
382, 0.447503
383, 0.446225
384, 0.445
385, 0.443818
386, 0.442668
387, 0.441537
388, 0.440419
389, 0.439306
390, 0.438204
391, 0.437114
392, 0.436055
393, 0.435034
394, 0.434064
395, 0.43315
396, 0.432298
397, 0.431509
398, 0.43078
399, 0.430107
400, 0.42948
401, 0.428895
402, 0.428341
403, 0.427819
404, 0.42732
405, 0.426844
406, 0.426385
407, 0.425947
408, 0.42553
409, 0.425141
410, 0.424784
411, 0.42446
412, 0.424177
413, 0.423938
414, 0.423745
415, 0.423594
416, 0.423482
417, 0.423403
418, 0.423348
419, 0.423311
420, 0.423286
421, 0.423269
422, 0.423255
423, 0.423243
424, 0.423239
425, 0.423242
426, 0.423259
427, 0.423292
428, 0.423345
429, 0.423423
430, 0.423525
431, 0.423655
432, 0.423812
433, 0.423995
434, 0.424206
435, 0.42444
436, 0.424698
437, 0.424977
438, 0.425277
439, 0.425596
440, 0.425935
441, 0.426291
442, 0.426665
443, 0.427059
444, 0.427474
445, 0.427914
446, 0.428382
447, 0.42888
448, 0.429413
449, 0.429984
450, 0.430595
451, 0.431248
452, 0.431942
453, 0.432675
454, 0.433443
455, 0.43424
456, 0.435058
457, 0.435891
458, 0.436727
459, 0.437556
460, 0.438366
461, 0.439145
462, 0.439882
463, 0.440561
464, 0.44117
465, 0.441694
466, 0.442119
467, 0.442431
468, 0.442613
469, 0.442652
470, 0.442532
471, 0.442238
472, 0.44176
473, 0.441085
474, 0.440202
475, 0.439102
476, 0.43778
477, 0.436228
478, 0.434444
479, 0.432427
480, 0.430176
481, 0.427694
482, 0.424985
483, 0.422055
484, 0.41891
485, 0.415558
486, 0.41201
487, 0.408275
488, 0.404366
489, 0.400295
490, 0.396075
491, 0.391718
492, 0.387237
493, 0.382645
494, 0.377957
495, 0.373185
496, 0.368337
497, 0.363428
498, 0.358467
499, 0.353466
500, 0.348433
501, 0.343375
502, 0.338301
503, 0.333216
504, 0.328128
505, 0.323042
506, 0.317965
507, 0.3129
508, 0.307847
509, 0.302812
510, 0.297807
511, 0.292831
512, 0.287883
513, 0.282961
514, 0.278078
515, 0.273241
516, 0.268447
517, 0.263697
518, 0.258993
519, 0.25434
520, 0.249741
521, 0.245198
522, 0.240713
523, 0.23629
524, 0.23193
525, 0.227624
526, 0.223365
527, 0.21918
528, 0.215076
529, 0.21104
530, 0.207044
531, 0.203094
532, 0.199228
533, 0.195438
534, 0.191712
535, 0.18804
536, 0.184425
537, 0.180877
538, 0.177395
539, 0.173977
540, 0.170621
541, 0.167334
542, 0.16412
543, 0.160967
544, 0.157833
545, 0.154757
546, 0.151775
547, 0.148902
548, 0.146089
549, 0.143246
550, 0.140447
551, 0.137746
552, 0.135147
553, 0.132614
554, 0.130095
555, 0.127609
556, 0.125186
557, 0.122831
558, 0.120528
559, 0.118263
560, 0.116057
561, 0.113929
562, 0.111883
563, 0.109853
564, 0.10776
565, 0.10572
566, 0.103798
567, 0.102036
568, 0.100358
569, 0.0985053
